item_id,total_units,total_revenue,avg_daily_demand,std_daily_demand,avg_price,total_days,zero_days,zero_demand_pct,cumulative_revenue,cumulative_rev_pct,abc_class,cv_demand,xyz_class,abc_xyz_segment,replenishment_strategy
FOODS_1_004,15797,28995.06,8.2577,8.8662,1.85,1913,616,32.2,28995.06,2.22,A,1.0737,Z,AZ,Dedicated Planner Review | Dynamic Safety Stock | Close Supplier Lead Time Tracking
FOODS_1_012,5212,27982.26,2.7245,2.7835,5.5,1913,641,33.51,56977.32,4.37,A,1.0217,Z,AZ,Dedicated Planner Review | Dynamic Safety Stock | Close Supplier Lead Time Tracking
FOODS_1_170,4806,25793.58,2.5123,3.5448,5.5,1913,1070,55.93,82770.9,6.35,A,1.411,Z,AZ,Dedicated Planner Review | Dynamic Safety Stock | Close Supplier Lead Time Tracking
FOODS_1_043,12617,23065.74,6.5954,6.5966,1.85,1913,504,26.35,105836.64,8.12,A,1.0002,Z,AZ,Dedicated Planner Review | Dynamic Safety Stock | Close Supplier Lead Time Tracking
FOODS_1_218,22387,21947.46,11.7026,9.3254,0.98,1913,103,5.38,127784.1,9.8,A,0.7969,Y,AY,Seasonal Forecasting | Medium Safety Stock Buffer | Weekly Demand Review
FOODS_1_055,5343,20465.2,2.793,4.6256,3.9,1913,653,34.13,148249.30000000002,11.37,A,1.6561,Z,AZ,Dedicated Planner Review | Dynamic Safety Stock | Close Supplier Lead Time Tracking
FOODS_1_085,20358,19984.46,10.6419,6.9478,0.98,1913,36,1.88,168233.76,12.91,A,0.6529,Y,AY,Seasonal Forecasting | Medium Safety Stock Buffer | Weekly Demand Review
FOODS_1_187,2109,19255.15,1.1025,1.4438,9.17,1913,897,46.89,187488.91,14.38,A,1.3096,Z,AZ,Dedicated Planner Review | Dynamic Safety Stock | Close Supplier Lead Time Tracking
FOODS_1_180,1985,19092.65,1.0376,1.9768,9.59,1913,1005,52.54,206581.56,15.85,A,1.9052,Z,AZ,Dedicated Planner Review | Dynamic Safety Stock | Close Supplier Lead Time Tracking
FOODS_1_194,3968,18370.65,2.0742,2.1945,4.7,1913,515,26.92,224952.21,17.26,A,1.058,Z,AZ,Dedicated Planner Review | Dynamic Safety Stock | Close Supplier Lead Time Tracking
FOODS_1_018,18568,18209.48,9.7062,6.544,0.98,1913,53,2.77,243161.69,18.66,A,0.6742,Y,AY,Seasonal Forecasting | Medium Safety Stock Buffer | Weekly Demand Review
FOODS_1_087,3282,17787.78,1.7156,2.2437,5.5,1913,868,45.37,260949.47,20.02,A,1.3078,Z,AZ,Dedicated Planner Review | Dynamic Safety Stock | Close Supplier Lead Time Tracking
FOODS_1_086,10583,17785.57,5.5321,4.4389,1.68,1913,412,21.54,278735.04,21.38,A,0.8024,Y,AY,Seasonal Forecasting | Medium Safety Stock Buffer | Weekly Demand Review
FOODS_1_110,9080,16687.88,4.7465,5.2992,1.85,1913,544,28.44,295422.92,22.67,A,1.1164,Z,AZ,Dedicated Planner Review | Dynamic Safety Stock | Close Supplier Lead Time Tracking
FOODS_1_161,16808,16475.36,8.7862,6.9433,0.98,1913,121,6.33,311898.27999999997,23.93,A,0.7903,Y,AY,Seasonal Forecasting | Medium Safety Stock Buffer | Weekly Demand Review
FOODS_1_183,4996,14771.98,2.6116,2.4738,2.95,1913,523,27.34,326670.25999999995,25.06,A,0.9472,Y,AY,Seasonal Forecasting | Medium Safety Stock Buffer | Weekly Demand Review
FOODS_1_032,14751,14495.74,7.7109,8.7501,0.98,1913,493,25.77,341165.99999999994,26.17,A,1.1348,Z,AZ,Dedicated Planner Review | Dynamic Safety Stock | Close Supplier Lead Time Tracking
FOODS_1_177,1650,14237.07,0.8625,1.1614,8.61,1913,951,49.71,355403.06999999995,27.27,A,1.3466,Z,AZ,Dedicated Planner Review | Dynamic Safety Stock | Close Supplier Lead Time Tracking
FOODS_1_152,1786,14228.23,0.9336,1.2536,8.07,1913,935,48.88,369631.29999999993,28.36,A,1.3428,Z,AZ,Dedicated Planner Review | Dynamic Safety Stock | Close Supplier Lead Time Tracking
FOODS_1_088,2949,14056.52,1.5416,2.1051,4.86,1913,783,40.93,383687.81999999995,29.44,A,1.3655,Z,AZ,Dedicated Planner Review | Dynamic Safety Stock | Close Supplier Lead Time Tracking
FOODS_1_217,4024,13531.78,2.1035,2.8982,3.33,1913,852,44.54,397219.6,30.47,A,1.3778,Z,AZ,Dedicated Planner Review | Dynamic Safety Stock | Close Supplier Lead Time Tracking
FOODS_1_046,13640,13374.12,7.1302,5.7704,0.98,1913,131,6.85,410593.72,31.5,A,0.8093,Y,AY,Seasonal Forecasting | Medium Safety Stock Buffer | Weekly Demand Review
