item_id,test_actual_units,test_forecast_units,mae,wape_pct,bias_pct
FOODS_1_001,33.0,24.1,0.933,79.15,-27.03
FOODS_1_002,12.0,14.0,0.607,141.67,16.67
FOODS_1_003,22.0,22.1,0.729,92.82,0.55
FOODS_1_004,0.0,0.0,0.0,0.0,0.0
FOODS_1_005,34.0,40.0,1.021,84.06,17.76
FOODS_1_006,50.0,47.9,1.113,62.32,-4.24
FOODS_1_008,4.0,7.0,0.321,225.0,75.0
FOODS_1_009,0.0,0.0,0.0,0.0,0.0
FOODS_1_010,7.0,3.1,0.329,131.43,-56.0
FOODS_1_011,34.0,16.0,1.011,83.24,-53.06
FOODS_1_012,77.0,100.0,1.913,69.56,29.82
FOODS_1_013,68.0,63.0,2.036,83.82,-7.35
FOODS_1_014,31.0,52.1,1.129,101.94,68.0
FOODS_1_015,17.0,21.0,0.714,117.65,23.53
FOODS_1_016,5.0,17.1,0.614,344.0,241.6
FOODS_1_017,25.0,26.9,0.687,76.96,7.52
FOODS_1_018,233.0,320.0,6.251,75.12,37.36
FOODS_1_019,240.0,218.1,5.673,66.18,-9.12
FOODS_1_020,33.0,36.1,0.803,68.12,9.45
FOODS_1_021,40.0,61.0,1.649,115.4,52.6
FOODS_1_022,2.0,0.0,0.071,100.0,-100.0
FOODS_1_023,8.0,5.9,0.451,157.75,-26.5
FOODS_1_024,2.0,9.0,0.346,484.0,348.0
FOODS_1_025,19.0,9.0,0.701,103.37,-52.84
FOODS_1_026,18.0,0.0,0.643,100.0,-100.0
FOODS_1_027,71.0,68.0,1.362,53.72,-4.17
FOODS_1_028,18.0,0.0,0.643,100.0,-100.0
FOODS_1_029,9.0,15.1,0.591,184.0,68.0
FOODS_1_030,16.0,19.0,0.669,117.0,19.0
FOODS_1_031,24.0,28.0,0.857,100.0,16.67
FOODS_1_032,40.0,72.0,1.928,134.95,79.9
FOODS_1_033,22.0,28.0,0.643,81.82,27.27
FOODS_1_034,7.0,12.0,0.588,235.14,72.0
FOODS_1_035,43.0,44.0,1.525,99.3,2.23
FOODS_1_036,61.0,78.1,1.434,65.84,28.07
FOODS_1_037,53.0,68.0,1.506,79.55,28.38
FOODS_1_038,14.0,5.9,0.545,109.0,-58.0
FOODS_1_039,18.0,19.0,0.643,100.0,5.78
FOODS_1_040,72.0,94.1,2.226,86.56,30.67
FOODS_1_041,28.0,33.9,1.12,112.0,21.0
FOODS_1_042,96.0,110.9,1.786,52.08,15.5
FOODS_1_043,0.0,0.0,0.0,0.0,0.0
FOODS_1_044,20.0,0.0,0.714,100.0,-100.0
FOODS_1_045,32.0,87.1,2.793,244.38,172.12
FOODS_1_046,232.0,241.1,4.587,55.36,3.91
FOODS_1_047,24.0,16.0,0.857,100.0,-33.5
FOODS_1_048,21.0,14.0,0.821,109.52,-33.33
FOODS_1_049,22.0,19.9,0.887,112.91,-9.64
FOODS_1_050,32.0,30.0,0.964,84.31,-6.37
FOODS_1_051,21.0,16.0,0.913,121.71,-24.0
FOODS_1_052,61.0,33.9,1.419,65.15,-44.46
FOODS_1_053,7.0,5.9,0.355,142.0,-16.0
FOODS_1_054,63.0,47.9,1.455,64.67,-24.0
FOODS_1_055,56.0,52.9,1.556,77.79,-5.5
FOODS_1_056,0.0,0.0,0.0,0.0,0.0
FOODS_1_057,0.0,0.0,0.0,0.0,0.0
FOODS_1_058,0.0,0.0,0.0,0.0,0.0
FOODS_1_059,23.0,3.9,0.871,106.09,-82.96
FOODS_1_060,23.0,33.0,0.866,105.39,43.65
FOODS_1_061,61.0,57.1,1.19,54.62,-6.36
FOODS_1_062,27.0,37.0,1.101,114.22,36.89
FOODS_1_063,24.0,36.1,0.931,108.58,50.5
FOODS_1_064,29.0,31.9,0.943,91.03,10.07
FOODS_1_065,18.0,19.9,0.795,123.67,10.44
FOODS_1_066,36.0,49.0,1.179,91.67,36.11
FOODS_1_067,70.0,54.9,1.723,68.91,-21.6
FOODS_1_068,2.0,5.0,0.226,316.0,152.0
FOODS_1_069,42.0,44.0,1.856,123.76,4.67
FOODS_1_070,19.0,17.1,0.94,138.53,-10.11
FOODS_1_071,29.0,26.0,0.969,93.59,-10.21
FOODS_1_072,3.0,0.0,0.107,100.0,-100.0
FOODS_1_073,26.0,28.0,0.786,84.62,7.69
FOODS_1_074,47.0,52.9,1.298,77.32,12.6
FOODS_1_075,25.0,45.9,1.187,132.96,83.68
FOODS_1_076,50.0,38.9,1.27,71.12,-22.16
FOODS_1_077,5.0,5.9,0.314,175.6,17.6
FOODS_1_078,23.0,14.0,0.929,113.04,-39.13
FOODS_1_079,0.0,3.1,0.11,0.0,0.0
FOODS_1_080,23.0,28.0,0.75,91.3,21.74
FOODS_1_081,30.0,33.0,1.233,115.07,10.13
FOODS_1_082,207.0,318.1,4.579,61.93,53.66
FOODS_1_083,26.0,35.0,1.179,126.92,34.62
FOODS_1_084,0.0,0.0,0.0,0.0,0.0
FOODS_1_085,248.0,331.0,4.91,55.44,33.45
FOODS_1_086,131.0,166.0,4.383,93.68,26.75
FOODS_1_087,97.0,72.0,1.842,53.18,-25.81
FOODS_1_088,32.0,49.0,1.518,132.81,53.12
FOODS_1_089,14.0,8.1,0.583,116.57,-42.0
FOODS_1_090,23.0,26.0,0.821,100.0,13.22
FOODS_1_091,0.0,0.0,0.0,0.0,0.0
FOODS_1_092,31.0,40.9,0.876,79.1,31.87
FOODS_1_093,9.0,10.1,0.501,156.0,12.0
FOODS_1_094,20.0,29.1,0.743,104.0,45.6
FOODS_1_095,2.0,3.9,0.191,268.0,96.0
FOODS_1_096,17.0,10.1,0.684,112.71,-40.71
FOODS_1_097,55.0,56.0,1.107,56.36,1.82
FOODS_1_098,5.0,1.1,0.207,116.0,-77.6
FOODS_1_099,252.0,310.0,5.459,60.65,23.0
FOODS_1_101,0.0,0.0,0.0,0.0,0.0
FOODS_1_102,13.0,10.9,0.659,142.0,-16.0
FOODS_1_103,40.0,45.1,1.174,82.2,12.7
FOODS_1_104,42.0,21.0,1.393,92.86,-50.0
FOODS_1_105,43.0,37.0,1.201,78.23,-14.05
FOODS_1_106,43.0,31.9,0.954,62.14,-25.77
FOODS_1_107,0.0,0.0,0.0,0.0,0.0
FOODS_1_108,44.0,47.9,1.509,96.05,8.82
FOODS_1_109,21.0,26.0,0.684,91.14,24.0
FOODS_1_110,0.0,0.0,0.0,0.0,0.0
FOODS_1_111,13.0,23.0,0.699,150.46,76.62
FOODS_1_112,57.0,68.9,1.563,76.77,20.84
FOODS_1_113,12.0,43.1,1.567,365.67,259.33
FOODS_1_114,12.0,5.9,0.504,117.5,-51.0
FOODS_1_115,15.0,9.0,0.65,121.33,-40.27
FOODS_1_116,34.0,22.1,1.271,104.65,-34.94
FOODS_1_117,46.0,35.0,1.179,71.74,-23.91
FOODS_1_118,36.0,33.9,1.203,93.56,-5.89
FOODS_1_119,0.0,12.0,0.43,0.0,0.0
FOODS_1_120,0.0,0.0,0.0,0.0,0.0
FOODS_1_121,27.0,17.1,0.834,86.44,-36.74
FOODS_1_122,26.0,40.0,0.919,99.0,54.0
FOODS_1_123,9.0,19.0,0.613,190.67,111.56
FOODS_1_124,38.0,31.1,1.325,97.63,-18.21
FOODS_1_125,38.0,24.1,1.05,77.37,-36.63
FOODS_1_126,0.0,0.0,0.0,0.0,0.0
FOODS_1_127,23.0,10.1,0.719,87.48,-56.17
FOODS_1_128,16.0,17.9,0.8,140.0,12.0
FOODS_1_129,28.0,26.0,0.734,73.43,-7.0
FOODS_1_130,56.0,87.1,1.856,92.82,55.5
FOODS_1_131,20.0,17.1,0.627,87.8,-14.6
FOODS_1_132,33.0,35.0,0.75,63.64,6.06
FOODS_1_133,23.0,17.9,0.73,88.87,-22.09
FOODS_1_134,10.0,24.9,0.802,224.6,149.2
FOODS_1_135,12.0,19.0,0.72,168.0,58.67
FOODS_1_136,17.0,14.0,0.75,123.53,-17.65
FOODS_1_137,17.0,23.0,1.251,206.12,35.06
FOODS_1_138,19.0,14.0,0.786,115.79,-26.32
FOODS_1_139,105.0,110.9,2.673,71.28,5.6
FOODS_1_140,20.0,0.0,0.714,100.0,-100.0
FOODS_1_141,18.0,17.9,0.597,92.89,-0.44
FOODS_1_142,32.0,40.0,1.225,107.19,25.12
FOODS_1_143,32.0,40.9,1.263,110.5,27.75
FOODS_1_144,27.0,22.1,0.908,94.15,-18.07
FOODS_1_145,42.0,47.9,1.081,72.05,14.0
FOODS_1_146,28.0,40.9,1.12,112.0,46.0
FOODS_1_147,18.0,17.1,0.774,120.33,-5.11
FOODS_1_148,3.0,2.0,0.167,156.0,-34.67
FOODS_1_149,48.0,45.9,1.449,84.5,-4.33
FOODS_1_150,27.0,45.9,1.167,121.04,70.07
FOODS_1_151,6.0,9.0,0.42,196.0,49.33
FOODS_1_152,19.0,10.1,0.756,111.37,-46.95
FOODS_1_153,84.0,92.1,2.327,77.57,9.67
FOODS_1_154,83.0,119.0,2.964,100.0,43.37
FOODS_1_155,37.0,64.1,1.294,97.89,73.3
FOODS_1_156,41.0,38.9,1.163,79.41,-5.07
FOODS_1_157,11.0,10.9,0.532,135.45,-0.73
FOODS_1_158,17.0,15.1,0.723,119.06,-11.06
FOODS_1_159,8.0,9.0,0.446,156.0,12.0
FOODS_1_160,15.0,16.0,0.699,130.4,6.4
FOODS_1_161,129.0,411.0,10.976,238.23,218.64
FOODS_1_162,79.0,121.0,2.527,89.57,53.11
FOODS_1_163,22.0,30.0,1.045,133.0,36.18
FOODS_1_164,1.0,0.0,0.036,100.0,-100.0
FOODS_1_166,69.0,73.9,1.016,41.22,7.13
FOODS_1_167,12.0,17.9,0.657,153.33,49.33
FOODS_1_168,14.0,17.1,0.718,143.57,22.0
FOODS_1_169,7.0,19.0,0.59,236.0,172.0
FOODS_1_170,20.0,0.0,0.714,100.0,-100.0
FOODS_1_171,10.0,12.0,0.634,177.4,20.4
FOODS_1_172,61.0,94.1,1.767,81.11,54.23
FOODS_1_173,86.0,56.0,2.357,76.74,-34.88
FOODS_1_174,39.0,40.9,1.101,79.08,4.82
FOODS_1_175,20.0,19.0,0.811,113.6,-4.8
FOODS_1_176,8.0,5.0,0.389,136.0,-37.0
FOODS_1_177,44.0,36.1,1.205,76.68,-17.91
FOODS_1_178,14.0,19.0,0.549,109.71,36.0
FOODS_1_179,3.0,14.0,0.5,466.67,366.67
FOODS_1_180,17.0,15.1,0.723,119.06,-11.06
FOODS_1_181,115.0,143.9,3.626,88.28,25.15
FOODS_1_182,33.0,26.0,0.979,83.09,-21.09
FOODS_1_183,69.0,94.1,1.619,65.68,36.35
FOODS_1_184,53.0,61.0,1.71,90.34,15.17
FOODS_1_185,41.0,43.1,1.19,81.27,5.17
FOODS_1_186,25.0,19.9,0.741,82.96,-20.48
FOODS_1_187,23.0,24.9,0.631,76.78,8.35
FOODS_1_188,57.0,38.9,1.194,58.67,-31.72
FOODS_1_189,24.0,21.0,1.071,125.0,-12.5
FOODS_1_190,4.0,30.0,0.994,500.0,649.0
FOODS_1_191,1.0,5.0,0.203,500.0,404.0
FOODS_1_192,0.0,0.0,0.0,0.0,0.0
FOODS_1_193,18.0,21.0,0.804,125.0,16.67
FOODS_1_194,56.0,80.9,1.969,98.43,44.5
FOODS_1_195,28.0,33.9,0.891,89.07,21.0
FOODS_1_196,30.0,38.1,1.2,112.0,26.93
FOODS_1_197,16.0,9.0,0.64,112.0,-44.0
FOODS_1_198,19.0,26.0,0.811,119.58,37.05
FOODS_1_199,12.0,14.0,0.714,166.67,16.67
FOODS_1_200,218.0,407.1,7.144,91.76,86.75
FOODS_1_201,57.0,64.1,1.455,71.47,12.49
FOODS_1_202,23.0,12.0,0.944,114.96,-47.65
FOODS_1_203,24.0,40.0,1.246,145.33,66.83
FOODS_1_204,95.0,120.1,2.416,71.2,26.44
FOODS_1_205,12.0,24.9,0.746,174.17,107.67
FOODS_1_206,67.0,59.9,1.82,76.06,-10.57
FOODS_1_207,33.0,79.0,1.764,149.7,139.27
FOODS_1_208,58.0,52.9,1.309,63.21,-8.76
FOODS_1_209,0.0,0.0,0.0,0.0,0.0
FOODS_1_210,0.0,0.0,0.0,0.0,0.0
FOODS_1_211,8.0,3.9,0.396,138.5,-51.0
FOODS_1_212,13.0,9.0,0.579,124.62,-31.08
FOODS_1_213,17.0,17.1,0.781,128.71,0.47
FOODS_1_214,25.0,28.0,0.679,76.0,12.0
FOODS_1_215,45.0,38.1,1.827,113.69,-15.38
FOODS_1_216,22.0,24.9,0.786,100.0,13.27
FOODS_1_217,85.0,50.1,1.656,54.54,-41.04
FOODS_1_218,241.0,351.1,4.993,58.01,45.69
FOODS_1_219,90.0,110.9,1.783,55.47,23.2
