item_id,abc_class,xyz_class,abc_xyz_segment,avg_daily_demand,std_daily_demand,cv_demand,avg_price,lead_time_days,target_service_level,z_score,lead_time_demand,safety_stock,safety_stock_units,reorder_point,reorder_point_units,replenishment_policy
FOODS_1_218,A,Y,AY,11.7026,9.3254,0.7969,0.98,7,0.95,1.65,81.92,40.71,41,122.63,123,Continuous Review (Weekly Reorder Trigger) | High Service Level 95%
FOODS_1_085,A,Y,AY,10.6419,6.9478,0.6529,0.98,7,0.95,1.65,74.49,30.33,31,104.82,105,Continuous Review (Weekly Reorder Trigger) | High Service Level 95%
FOODS_1_018,A,Y,AY,9.7062,6.544,0.6742,0.98,7,0.95,1.65,67.94,28.57,29,96.51,97,Continuous Review (Weekly Reorder Trigger) | High Service Level 95%
FOODS_1_161,A,Y,AY,8.7862,6.9433,0.7903,0.98,7,0.95,1.65,61.5,30.31,31,91.81,92,Continuous Review (Weekly Reorder Trigger) | High Service Level 95%
FOODS_1_004,A,Z,AZ,8.2577,8.8662,1.0737,1.85,7,0.95,1.65,57.8,38.71,39,96.51,97,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_032,A,Z,AZ,7.7109,8.7501,1.1348,0.98,7,0.95,1.65,53.98,38.2,39,92.18,93,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_046,A,Y,AY,7.1302,5.7704,0.8093,0.98,7,0.95,1.65,49.91,25.19,26,75.1,76,Continuous Review (Weekly Reorder Trigger) | High Service Level 95%
FOODS_1_099,A,Z,AZ,6.8082,8.0347,1.1802,0.98,7,0.95,1.65,47.66,35.08,36,82.74,83,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_043,A,Z,AZ,6.5954,6.5966,1.0002,1.85,7,0.95,1.65,46.17,28.8,29,74.97,75,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_086,A,Y,AY,5.5321,4.4389,0.8024,1.68,7,0.95,1.65,38.72,19.38,20,58.1,59,Continuous Review (Weekly Reorder Trigger) | High Service Level 95%
FOODS_1_110,A,Z,AZ,4.7465,5.2992,1.1164,1.85,7,0.95,1.65,33.23,23.13,24,56.36,57,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_019,A,Z,AZ,4.0523,5.2549,1.2968,1.05,7,0.95,1.65,28.37,22.94,23,51.31,52,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_021,A,Z,AZ,3.8092,6.5088,1.7087,0.98,7,0.95,1.65,26.66,28.41,29,55.07,56,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_162,A,Z,AZ,3.5353,4.7288,1.3376,1.86,7,0.95,1.65,24.75,20.64,21,45.39,46,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_173,A,Z,AZ,3.5107,4.5488,1.2957,1.98,7,0.95,1.65,24.57,19.86,20,44.43,45,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_200,A,Z,AZ,2.9509,5.6803,1.9249,0.98,7,0.95,1.65,20.66,24.8,25,45.46,46,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_058,A,Z,AZ,2.9404,3.6493,1.2411,1.85,7,0.95,1.65,20.58,15.93,16,36.51,37,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_113,A,Z,AZ,2.8474,4.5943,1.6135,0.98,7,0.95,1.65,19.93,20.06,21,39.99,40,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_206,A,Z,AZ,2.805,3.4095,1.2155,1.99,7,0.95,1.65,19.64,14.88,15,34.52,35,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_055,A,Z,AZ,2.793,4.6256,1.6561,3.9,7,0.95,1.65,19.55,20.19,21,39.74,40,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_067,A,Z,AZ,2.7439,3.5434,1.2914,1.98,7,0.95,1.65,19.21,15.47,16,34.68,35,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_012,A,Z,AZ,2.7245,2.7835,1.0217,5.5,7,0.95,1.65,19.07,12.15,13,31.22,32,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_045,A,Z,AZ,2.6644,2.7249,1.0227,1.84,7,0.95,1.65,18.65,11.9,12,30.55,31,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_183,A,Y,AY,2.6116,2.4738,0.9472,2.95,7,0.95,1.65,18.28,10.8,11,29.08,30,Continuous Review (Weekly Reorder Trigger) | High Service Level 95%
FOODS_1_137,A,Z,AZ,2.5264,3.6509,1.4451,1.98,7,0.95,1.65,17.68,15.94,16,33.62,34,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_170,A,Z,AZ,2.5123,3.5448,1.411,5.5,7,0.95,1.65,17.59,15.47,16,33.06,34,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_219,A,Z,AZ,2.4647,2.8297,1.1481,2.16,7,0.95,1.65,17.25,12.35,13,29.6,30,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_154,A,Z,AZ,2.4543,3.5415,1.443,1.47,7,0.95,1.65,17.18,15.46,16,32.64,33,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_172,A,Y,AY,2.3272,2.0919,0.8989,1.88,7,0.95,1.65,16.29,9.13,10,25.42,26,Continuous Review (Weekly Reorder Trigger) | High Service Level 95%
